navn,stavelser,frekvens,klasse,type
Xia,Xia,46,Annet,etternavn
Xie,Xie,56,Annet,etternavn
Xu,Xu,184,Annet,etternavn
Xue,Xue,43,Annet,etternavn
Yaman,Ya|man,63,Annet,etternavn
Yan,Yan,49,Annet,etternavn
Yang,Yang,206,Annet,etternavn
Yasar,Ya|sar,85,Annet,etternavn
Yasin,Ya|sin,148,Annet,etternavn
Yassin,Yas|sin,89,Annet,etternavn
Yddal,Y|ddal,29,Gårdsnavn,etternavn
Ydersbond,Y|ders|bond,21,Gårdsnavn,etternavn
Ydse,Yd|se,112,Gårdsnavn,etternavn
Ydstebø,Yd|ste|bø,125,Gårdsnavn,etternavn
Ydsti,Yd|sti,22,Gårdsnavn,etternavn
Ydstie,Yd|sti|e,42,Gårdsnavn,etternavn
Ydstines,Yd|sti|nes,17,Gårdsnavn,etternavn
Ye,Ye,78,Annet,etternavn
Yggeseth,Ygg|e|seth,64,Gårdsnavn,etternavn
Ygre,Y|gre,13,Gårdsnavn,etternavn
Yildirim,Y|li|di|rim,217,Annet,etternavn
Yildiz,Y|il|diz,253,Annet,etternavn
Yilmaz,Y|il|maz,246,Annet,etternavn
Yksnøy,Yks|nøy,132,Gårdsnavn,etternavn
Yli,Y|li,25,Gårdsnavn,etternavn
Ylvisaker,Yl|vis|aker,26,Gårdsnavn,etternavn
Ylvisåker,Yl|vis|åker,76,Gårdsnavn,etternavn
Yndesdal,Ynd|es|dal,71,Gårdsnavn,etternavn
Yndestad,Ynd|es|tad,379,Gårdsnavn,etternavn
Ynnesdal,Ynn|es|dal,128,Gårdsnavn,etternavn
Yohannes,Yo|hann|es,134,Annet,etternavn
Younas,Yo|un|as,65,Annet,etternavn
Young,Young,172,Annet,etternavn
Younis,You|nis,89,Annet,etternavn
Yousaf,You|saf,104,Annet,etternavn
Yousef,You|sef,94,Annet,etternavn
Yousefi,You|se|fi,75,Annet,etternavn
Yousif,You|sif,81,Annet,etternavn
Youssef,Yous|sef,47,Annet,etternavn
Yousuf,You|suf,41,Annet,etternavn
Yri,Y|ri,214,Gårdsnavn,etternavn
Yrke,Yr|ke,62,Gårdsnavn,etternavn
Yrkje,Yr|kje,12,Gårdsnavn,etternavn
Yrstad,Yr|stad,11,Gårdsnavn,etternavn
Ysland,Ys|land,121,Gårdsnavn,etternavn
Yssen,Ys|sen,39,Gårdsnavn,etternavn
Ystad,Y|stad,99,Gårdsnavn,etternavn
Ystanes,Y|stad|nes,100,Gårdsnavn,etternavn
Ystebø,Yste|bø,132,Gårdsnavn,etternavn
Ystehede,Yste|hed|e,26,Gårdsnavn,etternavn
Ystenes,Yste|nes,92,Gårdsnavn,etternavn
Ysterud,Yste|rud,11,Gårdsnavn,etternavn
Ystgård,Yst|gård,27,Gårdsnavn,etternavn
Ystgaard,Yst|gaard,58,Gårdsnavn,etternavn
Ystheim,Yst|heim,40,Gårdsnavn,etternavn
Ystmark,Yst|mark,64,Gårdsnavn,etternavn
Ystnæs,Yst|næs,13,Gårdsnavn,etternavn
Ystrøm,Yst|røm,26,Annet,etternavn
Ystaas,Yst|aas,47,Gårdsnavn,etternavn
Ytre,Y|tre,20,Gårdsnavn,etternavn
Ytre-Arne,Y|tre|ar|ne,49,Gårdsnavn,etternavn
Ytre-Eide,Y|tre|ei|de,37,Gårdsnavn,etternavn
Ytrearne,Y|tre|ar|ne,41,Gårdsnavn,etternavn
Ytreberg,Y|tre|berg,74,Gårdsnavn,etternavn
Ytrebø,Y|tre|bø,38,Gårdsnavn,etternavn
Ytredal,Y|tre|dal,109,Gårdsnavn,etternavn
Ytreeide,Y|tre|ei|de,29,Gårdsnavn,etternavn
YtreHauge,Y|tre|hau|ge,46,Gårdsnavn,etternavn
Ytrehorn,Y|tre|horn,24,Gårdsnavn,etternavn
Ytrehus,Y|tre|hus,106,Gårdsnavn,etternavn
Ytreland,Y|tre|land,286,Gårdsnavn,etternavn
Ytrelid,Y|tre|lid,35,Gårdsnavn,etternavn
Ytrestøl,Y|tre|støl,13,Gårdsnavn,etternavn
Ytrestøyl,Y|tre|støyl,43,Gårdsnavn,etternavn
Ytrøy,Ytr|øy,103,Gårdsnavn,etternavn
Ytteborg,Ytte|borg,32,Gårdsnavn,etternavn
Ytterbø,Ytter|bø,77,Gårdsnavn,etternavn
Ytterdahl,Ytter|dahl,126,Gårdsnavn,etternavn
Ytterdal,Ytter|dal,144,Gårdsnavn,etternavn
Yttereng,Ytter|eng,43,Gårdsnavn,etternavn
Yttergård,Ytter|gård,67,Gårdsnavn,etternavn
Ytterhaug,Ytter|haug,71,Gårdsnavn,etternavn
Ytterhus,Ytter|hus,57,Gårdsnavn,etternavn
Ytterland,Ytter|land,166,Gårdsnavn,etternavn
Ytterli,Ytter|li,70,Gårdsnavn,etternavn
Ytterlid,Ytter|lid,14,Gårdsnavn,etternavn
Yttersian,Ytter|si|an,51,Gårdsnavn,etternavn
Ytterstad,Ytter|stad,238,Gårdsnavn,etternavn
Yttervik,Ytter|vik,260,Gårdsnavn,etternavn
Yttervoll,Ytter|voll,38,Gårdsnavn,etternavn
Ytterøy,Ytter|øy,25,Gårdsnavn,etternavn
Ytterås,Ytter|ås,31,Gårdsnavn,etternavn
Yttredal,Yttre|dal,31,Gårdsnavn,etternavn
Yttreeide,Yttre|ei|de,16,Gårdsnavn,etternavn
Yttregaard,Yttre|gaard,11,Gårdsnavn,etternavn
Yttrehus,Yttre|hus,27,Gårdsnavn,etternavn
Yttri,Ytt|ri,127,Gårdsnavn,etternavn
Yu,Yu,144,Annet,etternavn
Yuen,Yu|en,43,Annet,etternavn
Yussuf,Yus|suf,49,Annet,etternavn
Yusuf,Yu|suf,621,Annet,etternavn
Yuusuf,Yuu|suf,34,Annet,etternavn
Yven,Y|ven,59,Gårdsnavn,etternavn
Zacariassen,Za|ca|ri|ass|en,10,Patronym,etternavn
Zachariasen,Za|cha|ri|as|en,22,Patronym,etternavn
Zachariassen,Za|cha|ri|ass|en,582,Patronym,etternavn
Zachrisen,Za|chri|sen,42,Patronym,etternavn
Zachrisson,Za|chri|sson,25,Patronym,etternavn
Zafar,Za|far,104,Annet,etternavn
Zahid,Za|hid,109,Annet,etternavn
Zahl,Zahl,369,Annet,etternavn
Zaidi,Za|i|di,66,Annet,etternavn
Zajac,Za|jac,98,Annet,etternavn
Zak,Zak,82,Annet,etternavn
Zakariassen,Za|ka|ri|ass|en,399,Patronym,etternavn
Zaman,Za|man,131,Annet,etternavn
Zamani,Za|man|i,38,Annet,etternavn
Zappfe,Za|ppfe,65,Annet,etternavn
Zawadzka,Za|wad|zka,19,Annet,etternavn
Zawadzki,Za|wad|zki,65,Annet,etternavn
Zeiner,Zei|ner,58,Annet,etternavn
Zernichow,Zer|ni|chow,61,Annet,etternavn
Zetlitz,Zet|litz,40,Annet,etternavn
Zetterstrøm,Zett|er|strøm,130,Annet,etternavn
Zhalsen,Zhal|sen,41,Patronym,etternavn
Zhang,Zhang,432,Annet,etternavn
Zhao,Zhano,110,Annet,etternavn
Zheng,Zheng,67,Annet,etternavn
Zhou,Zhou,106,Annet,etternavn
Zhu,Zhu,88,Annet,etternavn
Zia,Zia,83,Annet,etternavn
Ziegler,Zie|gler,73,Annet,etternavn
Zielenska,Zi|el|en|ska,69,Annet,etternavn
Zielenski,Zi|el|en|ski,192,Annet,etternavn
Ziener,Zi|en|er,69,Annet,etternavn
Zimmer,Zimm|er,101,Annet,etternavn
Zimmermann,Zimm|er|mann,250,Annet,etternavn
Ziolkowska,Zi|ol|kow|ska,20,Annet,etternavn
Ziolkowski,Zi|ol|kow|ski,60,Annet,etternavn
Zurawska,Zu|raw|ska,13,Annet,etternavn
Zurawski,Zu|raw|ski,46,Annet,etternavn
Ærø,æ|rø,30,Gårdsnavn,etternavn
Æsøy,æs|øy,66,Gårdsnavn,etternavn
Øberg,ø|berg,172,Gårdsnavn,etternavn
Øby,ø|by,93,Gårdsnavn,etternavn
Øde,ø|de,23,Gårdsnavn,etternavn
Ødeby,ø|de|by,61,Gårdsnavn,etternavn
Ødefjeld,ø|de|fjeld,12,Gårdsnavn,etternavn
Ødegård,ø|de|gård,4424,Gårdsnavn,etternavn
Ødegaard,ø|de|gaard,2420,Gårdsnavn,etternavn
Ødegården,ø|de|gård|en,315,Gårdsnavn,etternavn
Ødegaarden,ø|de|gaar|den,69,Gårdsnavn,etternavn
Ødejord,ø|de|jord,20,Gårdsnavn,etternavn
Ødeli,øde|li,19,Gårdsnavn,etternavn
Ødelien,ø|de|li|en,50,Gårdsnavn,etternavn
Ødemark,ø|de|mark,180,Gårdsnavn,etternavn
Ødemotland,ø|de|mot|land,31,Gårdsnavn,etternavn
Øderud,ø|de|rud,67,Gårdsnavn,etternavn
Ødeskaug,ø|de|skaug,53,Gårdsnavn,etternavn
Ødevarp,ø|de|varp,11,Gårdsnavn,etternavn
Ødeverp,ø|de|verp,13,Gårdsnavn,etternavn
Ødven,ød|ven,68,Gårdsnavn,etternavn
Øen,ø|en,764,Gårdsnavn,etternavn
Øfeldt,ø|feldt,28,Gårdsnavn,etternavn
Øfstbø,øfst|bø,12,Gårdsnavn,etternavn
Øfstebø,øf|ste|bø,13,Gårdsnavn,etternavn
Øfstedal,øf|ste|dal,27,Gårdsnavn,etternavn
Øfsteng,øfst|eng,34,Gårdsnavn,etternavn
Øfsthus,øfst|hus,26,Gårdsnavn,etternavn
Øfsti,øf|sti,115,Gårdsnavn,etternavn
Øfstaas,øf|staas,86,Gårdsnavn,etternavn
Øgreid,ø|greid,126,Gårdsnavn,etternavn
Øgrey,ø|grey,44,Gårdsnavn,etternavn
Øgrim,ø|grim,26,Gårdsnavn,etternavn
Øgaard,ø|gaard,174,Gårdsnavn,etternavn
Øgård,ø|gård,129,Gårdsnavn,etternavn
Øhlen,øh|len,43,Gårdsnavn,etternavn
Øhlund,øh|lund,33,Gårdsnavn,etternavn
Øhman,øh|man,66,Gårdsnavn,etternavn
Øhra,øhr|a,17,Gårdsnavn,etternavn
Øhre,øhr|e,65,Gårdsnavn,etternavn
Øhren,øhr|en,27,Gårdsnavn,etternavn
Øhrn,øhrn,117,Annet,etternavn
Øi,øi,55,Gårdsnavn,etternavn
Øia,øi|a,72,Gårdsnavn,etternavn
Øiahals,øi|a|hals,45,Gårdsnavn,etternavn
Øiamo,øi|a|mo,63,Gårdsnavn,etternavn
Øian,øi|an,137,Gårdsnavn,etternavn
Øiangen,øi|ang|en,33,Gårdsnavn,etternavn
Øibakken,øi|bakk|en,23,Gårdsnavn,etternavn
Øiberg,øi|berg,19,Gårdsnavn,etternavn
Øidna,øid|na,12,Gårdsnavn,etternavn
Øidne,øid|ne,18,Gårdsnavn,etternavn
Øidvin,øi|dvin,23,Gårdsnavn,etternavn
Øie,øi|e,562,Gårdsnavn,etternavn
Øiehaug,øi|e|haug,24,Gårdsnavn,etternavn
Øien,øi|en,2162,Gårdsnavn,etternavn
Øieren,øi|er|en,33,Gårdsnavn,etternavn
Øierud,øi|e|rud,11,Gårdsnavn,etternavn
Øieset,øi|e|set,11,Gårdsnavn,etternavn
Øiestad,øi|e|stad,237,Gårdsnavn,etternavn
Øiesvold,øi|es|vold,70,Gårdsnavn,etternavn
Øigarden,øi|gar|den,63,Gårdsnavn,etternavn
Øigjord,øi|gjord,17,Gårdsnavn,etternavn
Øigård,øi|gård,34,Gårdsnavn,etternavn
Øihaugen,øi|haug|en,19,Gårdsnavn,etternavn
Øijord,øi|jord,64,Gårdsnavn,etternavn
Øijordsbakken,øi|jords|bakken,33,Gårdsnavn,etternavn
Øimoen,øi|mo|en,31,Gårdsnavn,etternavn
Øina,øi|na,26,Gårdsnavn,etternavn
Øines,øi|nes,22,Gårdsnavn,etternavn
Øino,øi|no,18,Gårdsnavn,etternavn
Øiom,øi|om,59,Gårdsnavn,etternavn
Øiongen,øi|ong|en,18,Gårdsnavn,etternavn
Øiseth,øi|seth,232,Gårdsnavn,etternavn
Øisjøfoss,øi|sjø|foss,17,Gårdsnavn,etternavn
Øistad,øi|stad,122,Gårdsnavn,etternavn
Øistensen,øi|sten|sen,11,Patronym,etternavn
Øium,øi|um,14,Gårdsnavn,etternavn
Øiumshaugen,øi|ums|haug|en,29,Gårdsnavn,etternavn
Øiaas,øi|aas,52,Gårdsnavn,etternavn
Økdal,øk|dal,42,Gårdsnavn,etternavn
Økelsrud,øk|els|rud,14,Gårdsnavn,etternavn
Økern,øk|ern,93,Gårdsnavn,etternavn
Økland,øk|land,1372,Gårdsnavn,etternavn
Øksdahl,øks|dahl,14,Gårdsnavn,etternavn
Øksdal,øks|dal,37,Gårdsnavn,etternavn
Øksenberg,øks|en|berg,40,Gårdsnavn,etternavn
Øksendal,øks|en|dal,214,Gårdsnavn,etternavn
Øksenholt,øks|en|holt,66,Gårdsnavn,etternavn
Øksenvåg,øks|en|våg,81,Gårdsnavn,etternavn
Økseter,øk|set|er,40,Gårdsnavn,etternavn
Øksne,øks|ne,59,Gårdsnavn,etternavn
Øksnes,øks|nes,464,Gårdsnavn,etternavn
Øksnevad,øks|ne|vad,162,Gårdsnavn,etternavn
Økstad,øk|stad,54,Gårdsnavn,etternavn
Økter,øk|ter,21,Gårdsnavn,etternavn
Øktner,økt|ner,23,Gårdsnavn,etternavn
Ølander,øl|and|er,37,Annet,etternavn
Ølberg,øl|berg,215,Gårdsnavn,etternavn
Ølfarnes,øl|far|nes,19,Gårdsnavn,etternavn
Ølmheim,ølm|heim,207,Gårdsnavn,etternavn
Ølnes,øl|nes,148,Gårdsnavn,etternavn
Ølness,øl|ness,17,Gårdsnavn,etternavn
Ølstad,øl|stad,112,Gårdsnavn,etternavn
Ølstadløkken,øl|stad|løkken,24,Gårdsnavn,etternavn
Ølstøren,øl|stør|en,64,Gårdsnavn,etternavn
Ølstørn,øl|stør|n,60,Gårdsnavn,etternavn
Øpsen,øp|sen,21,Gårdsnavn,etternavn
Øpstad,øp|stad,82,Gårdsnavn,etternavn
Øpstebø,øp|ste|bø,14,Gårdsnavn,etternavn
Øra,øra,44,Gårdsnavn,etternavn
Ørbech,ør|bech,27,Gårdsnavn,etternavn
Ørbeck,ør|beck,215,Gårdsnavn,etternavn
Ørbek,ør|bek,12,Gårdsnavn,etternavn
Ørbekk,ør|bekk,39,Gårdsnavn,etternavn
Ørbog,ør|bog,64,Gårdsnavn,etternavn
Ørbæk,ør|bæk,101,Gårdsnavn,etternavn
Ørdal,ør|dal,34,Gårdsnavn,etternavn
Ørebeck,øre|beck,27,Gårdsnavn,etternavn
Øren,ør|en,711,Gårdsnavn,etternavn
Ørgersen,ør|ger|sen,26,Patronym,etternavn
Øritsland,ør|its|land,71,Gårdsnavn,etternavn
Ørjansen,ør|jan|sen,194,Patronym,etternavn
Ørjasæter,ør|ja|sæ|ter,126,Gårdsnavn,etternavn
Ørjavik,ør|ja|vik,56,Gårdsnavn,etternavn
Ørka,ørk|a,37,Gårdsnavn,etternavn
Ørken,ørk|en,10,Gårdsnavn,etternavn
Ørland,ør|land,97,Gårdsnavn,etternavn
Ørmen,ørm|en,204,Gårdsnavn,etternavn
Ørn,ørn,65,Annet,etternavn
Ørndahl,ørn|dahl,16,Gårdsnavn,etternavn
Ørndal,ørn|dal,15,Gårdsnavn,etternavn
Ørnebakk,ør|ne|bakk,26,Gårdsnavn,etternavn
Ørnehaug,ør|ne|haug,41,Gårdsnavn,etternavn
Ørnes,ør|nes,155,Gårdsnavn,etternavn
Ørnevik,ør|ne|vik,28,Gårdsnavn,etternavn
Ørnhaug,ørn|haug,27,Gårdsnavn,etternavn
Ørnholt,ørn|holt,29,Gårdsnavn,etternavn
Ørnsrud,ørns|rud,25,Gårdsnavn,etternavn
Ørpen,ør|pen,65,Gårdsnavn,etternavn
Ørpetvedt,ør|pe|tvedt,16,Gårdsnavn,etternavn
Ørpetveit,ør|pe|tveit,15,Gårdsnavn,etternavn
Ørsahl,ør|sahl,13,Gårdsnavn,etternavn
Ørsal,ør|sal,61,Gårdsnavn,etternavn
Ørseng,ørs|eng,76,Gårdsnavn,etternavn
Ørsjødal,ør|sjø|dal,33,Gårdsnavn,etternavn
Ørsland,ørs|land,59,Gårdsnavn,etternavn
Ørsleie,ørs|leie,28,Gårdsnavn,etternavn
Ørslien,ørs|lien,54,Gårdsnavn,etternavn
Ørsnes,ørs|nes,54,Gårdsnavn,etternavn
Ørstad,ør|stad,68,Gårdsnavn,etternavn
Ørstavik,ør|sta|vik,187,Gårdsnavn,etternavn
Ørstenvik,ør|sten|vik,32,Gårdsnavn,etternavn
Ørud,ø|rud,17,Gårdsnavn,etternavn
Ørum,ø|rum,47,Annet,etternavn
Ørvik,ør|vik,82,Gårdsnavn,etternavn
Øraas,ør|aas,13,Gårdsnavn,etternavn
Øseth,ø|seth,46,Gårdsnavn,etternavn
Øsleby,øsle|by,16,Gårdsnavn,etternavn
Øslebye,øsle|bye,16,Gårdsnavn,etternavn
Øslebø,øsle|bø,32,Gårdsnavn,etternavn
Øsmundset,øs|mund|set,12,Gårdsnavn,etternavn
Østad,ø|stad,47,Gårdsnavn,etternavn
Østbakk,øst|bakk,20,Gårdsnavn,etternavn
Østbakken,øst|bakk|en,23,Gårdsnavn,etternavn
Østberg,øst|berg,353,Gårdsnavn,etternavn
Østborg,øst|borg,165,Gårdsnavn,etternavn
Østbu,øst|bu,40,Gårdsnavn,etternavn
Østby,øst|by,1985,Gårdsnavn,etternavn
Østbye,øst|bye,507,Gårdsnavn,etternavn
Østbyhaug,øst|by|haug,49,Gårdsnavn,etternavn
Østbø,øst|bø,484,Gårdsnavn,etternavn
Østbøl,øst|bøl,13,Gårdsnavn,etternavn
Østbøll,øst|bøll,41,Gårdsnavn,etternavn
Østdahl,øst|dahl,72,Gårdsnavn,etternavn
Østebrød,øs|te|brød,100,Gårdsnavn,etternavn
Østebrøt,øs|te|brøt,29,Gårdsnavn,etternavn
Østeby,øs|te|by,84,Gårdsnavn,etternavn
Østebø,øs|te|bø,461,Gårdsnavn,etternavn
Østebøvik,øs|te|bø|vik,137,Gårdsnavn,etternavn
Østefjells,øst|e|fjells,41,Gårdsnavn,etternavn
Østen,øs|ten,49,Gårdsnavn,etternavn
Østenby,øs|ten|by,72,Gårdsnavn,etternavn
Østenengen,øs|ten|eng|en,43,Gårdsnavn,etternavn
Østenfor,øst|en|for,24,Gårdsnavn,etternavn
Østeng,øst|eng,84,Gårdsnavn,etternavn
Østengen,øst|eng|en,110,Gårdsnavn,etternavn
Østenheden,øst|en|hed|en,26,Gårdsnavn,etternavn
Østenrød,øst|en|rød,14,Gårdsnavn,etternavn
Østensen,øst|en|sen,940,Patronym,etternavn
Østensjø,øst|en|sjø,76,Gårdsnavn,etternavn
Østenstad,øst|en|stad,207,Gårdsnavn,etternavn
Østensvig,øst|en|svig,96,Gårdsnavn,etternavn
Østensvik,øst|en|svik,52,Gårdsnavn,etternavn
Østenå,øs|te|nå,33,Gårdsnavn,etternavn
Øster,øs|ter,39,Annet,etternavn
Østerberg,øs|ter|berg,136,Annet,etternavn
Østerby,øs|ter|by,28,Annet,etternavn
Østerbø,øs|ter|bø,305,Gårdsnavn,etternavn
Østerbøe,øs|ter|bøe,11,Gårdsnavn,etternavn
